Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
São Caetano do Sul (SP),1,0.862,1,0.891,2,0.811,19,0.887,,,,,,,,,,,,
Águas de São Pedro (SP),2,0.854,12,0.849,1,0.825,11,0.89,,,,,,,,,,,,
Florianópolis (SC),3,0.847,5,0.87,5,0.8,147,0.873,1.0,0.94,9.0,0.805,2.0,0.858,9.0,0.876,,,,
Vitória (ES),4,0.845,3,0.876,4,0.805,551,0.855,37.0,0.824,7.0,0.811,39.0,0.745,2.0,0.89,,,,
Balneário Camboriú (SC),4,0.845,10,0.854,6,0.789,1,0.894,,,,,,,,,,,,
Santos (SP),6,0.84,9,0.861,3,0.807,643,0.852,30.0,0.854,2.0,0.868,33.0,0.754,3.0,0.888,,,,
Niterói (RJ),7,0.837,2,0.887,13,0.773,581,0.854,5.0,0.922,32.0,0.77,7.0,0.843,10.0,0.875,,,,
Joaçaba (SC),8,0.827,31,0.823,15,0.771,7,0.891,,,,,,,,,,,,
Brasília (DF),9,0.824,8,0.863,73,0.742,147,0.873,31.0,0.851,9.0,0.805,28.0,0.789,14.0,0.866,,,,
Curitiba (PR),10,0.823,11,0.85,17,0.768,551,0.855,4.0,0.924,31.0,0.773,22.0,0.813,11.0,0.873,,,,
Jundiaí (SP),11,0.822,24,0.834,17,0.768,276,0.866,32.0,0.845,9.0,0.805,30.0,0.758,25.0,0.842,,,,
Valinhos (SP),12,0.819,13,0.848,23,0.763,722,0.85,,,,,,,,,,,,
Vinhedo (SP),13,0.817,18,0.84,82,0.739,98,0.878,,,,,,,,,,,,
Santo André (SP),14,0.815,33,0.819,16,0.769,390,0.861,6.0,0.92,14.0,0.796,9.0,0.841,7.0,0.884,,,,
Araraquara (SP),14,0.815,87,0.788,7,0.782,110,0.877,,,,,,,,,,,,
