"Territorialidade","Posição IDHM","IDHM","Posição IDHM Renda","IDHM Renda","Posição IDHM Educação","IDHM Educação","Posição IDHM Longevidade","IDHM Longevidade","Posição Mulheres","IDHM Mulheres","Posição Homens","IDHM Homens","Posição Negros","IDHM Negros","Posição Brancos","IDHM Brancos","Posição Urbano","IDHM Urbano","Posição Rural","IDHM Rural","","","","",""
"RM - São Paulo","1","0.842","2","0.791","1","0.849","1","0.89","6","0.859","1","0.841","2","0.819","2","0.879","","","","","","","","",""
"RM - Florianópolis","2","0.833","1","0.808","2","0.83","4","0.862","7","0.838","2","0.826","8","0.752","3","0.847","","","","","","","","",""
"RM - Curitiba","3","0.81","5","0.77","4","0.809","5","0.853","8","0.822","4","0.792","5","0.764","7","0.823","","","","","","","","",""
"RM - Rio de Janeiro","4","0.805","4","0.776","10","0.774","3","0.869","1","0.911","3","0.811","1","0.822","1","0.899","","","","","","","","",""
"RM - Belo Horizonte","5","0.797","6","0.767","5","0.801","7","0.824","3","0.885","8","0.765","3","0.786","4","0.846","","","","","","","","",""
"RM - Grande Vitória","6","0.796","8","0.743","11","0.769","2","0.883","17","0.737","9","0.749","16","0.701","8","0.807","","","","","","","","",""
"RM - Porto Alegre","7","0.788","3","0.783","15","0.749","6","0.834","2","0.891","5","0.781","4","0.782","5","0.844","","","","","","","","",""
"RM - Goiânia","8","0.764","9","0.735","6","0.8","12","0.758","9","0.815","16","0.682","12","0.724","12","0.786","","","","","","","","",""
"RM - Vale do Rio Cuiabá","9","0.76","10","0.727","8","0.792","11","0.762","18","0.723","10","0.731","15","0.703","16","0.773","","","","","","","","",""
"RM - Recife","10","0.746","14","0.688","9","0.782","9","0.773","10","0.79","6","0.779","5","0.764","6","0.825","","","","","","","","",""
"RM - Belém","11","0.745","12","0.711","13","0.76","10","0.764","12","0.774","11","0.706","13","0.72","11","0.793","","","","","","","","",""
"RM - Fortaleza","11","0.745","13","0.709","6","0.8","15","0.729","11","0.785","12","0.694","11","0.725","14","0.778","","","","","","","","",""
"RM - Natal","13","0.743","7","0.752","18","0.699","8","0.781","4","0.871","18","0.653","9","0.749","9","0.798","","","","","","","","",""
"RM - Salvador","14","0.727","11","0.716","16","0.734","14","0.732","13","0.771","13","0.685","14","0.705","13","0.784","","","","","","","","",""
"RM - Grande Teresina","15","0.721","16","0.676","12","0.765","16","0.724","14","0.756","7","0.771","7","0.759","10","0.795","","","","","","","","",""
"RM - Grande São Luís","16","0.719","18","0.665","3","0.811","18","0.689","15","0.755","15","0.683","16","0.701","17","0.77","","","","","","","","",""
"RM - Maceió","17","0.717","15","0.682","17","0.712","12","0.758","5","0.86","17","0.66","10","0.731","15","0.774","","","","","","","","",""
"RM - Manaus","18","0.711","17","0.67","14","0.758","17","0.709","16","0.746","14","0.684","18","0.698","18","0.75","","","","","","","","",""
