Territorialidade,Total
Brasil,R$ 4649.03
Norte,R$ 3178.63
Nordeste,R$ 3166.07
Sudeste,R$ 5415.49
Sul,R$ 5102.73
Centro-Oeste,R$ 5762.12
Rondônia,R$ 3157.71
Acre,R$ 3651.59
Amazonas,R$ 3218.87
Roraima,R$ 3346.81
Pará,R$ 3124.69
Amapá,R$ 4451.32
Tocantins,R$ 2552.53
Maranhão,R$ 2620.93
Piauí,R$ 2841.37
Ceará,R$ 2830.34
Rio Grande do Norte,R$ 3910.53
Paraíba,R$ 2893.59
Pernambuco,R$ 3442.75
Alagoas,R$ 2417.84
Sergipe,R$ 3924.18
Bahia,R$ 3423.63
Minas Gerais,R$ 4390.72
Espírito Santo,R$ 4041.14
Rio de Janeiro,R$ 4611.78
São Paulo,R$ 6312.16
Paraná,R$ 5115.09
Santa Catarina,R$ 4931.18
Rio Grande do Sul,R$ 5195.32
Mato Grosso do Sul,R$ 4903.67
Mato Grosso,R$ 4739.83
Goiás,R$ 4872.92
Distrito Federal,R$ 9874.73
